failure_id,event_id,part_id,day_of_event,failed_qty
F000101_wheel_2,E000101,wheel,2,1
F000101_wheel_3,E000101,wheel,3,1
F000101_wheel_4,E000101,wheel,4,2
F000101_windshield_1,E000101,windshield,1,1
F000101_windshield_3,E000101,windshield,3,1
F000101_windshield_4,E000101,windshield,4,1
F000102_wheel_2,E000102,wheel,2,1
F000102_windshield_4,E000102,windshield,4,2
F000102_windshield_5,E000102,windshield,5,1
F000102_engine_5,E000102,engine,5,1
F000103_wheel_3,E000103,wheel,3,1
F000103_wheel_5,E000103,wheel,5,1
F000103_body_6,E000103,body,6,1
F000103_windshield_4,E000103,windshield,4,1
F000103_engine_3,E000103,engine,3,1
F000104_body_5,E000104,body,5,1
F000104_engine_3,E000104,engine,3,1
F000104_engine_5,E000104,engine,5,1
F000106_wheel_2,E000106,wheel,2,1
F000106_wheel_5,E000106,wheel,5,1
F000106_body_4,E000106,body,4,1
F000106_windshield_5,E000106,windshield,5,1
F000106_engine_5,E000106,engine,5,1
F000108_wheel_1,E000108,wheel,1,1
F000108_windshield_1,E000108,windshield,1,2
F000109_body_5,E000109,body,5,1
F000109_windshield_5,E000109,windshield,5,1
F000110_engine_2,E000110,engine,2,1
F000110_engine_3,E000110,engine,3,1
F000111_wheel_3,E000111,wheel,3,1
F000111_windshield_1,E000111,windshield,1,1
F000111_engine_3,E000111,engine,3,1
F000111_engine_4,E000111,engine,4,1
F000112_wheel_5,E000112,wheel,5,2
F000112_body_1,E000112,body,1,2
F000113_engine_4,E000113,engine,4,1
F000114_wheel_5,E000114,wheel,5,3
F000114_wheel_6,E000114,wheel,6,1
F000114_windshield_1,E000114,windshield,1,1
F000114_windshield_5,E000114,windshield,5,1
F000114_engine_5,E000114,engine,5,1
F000115_wheel_1,E000115,wheel,1,1
F000115_windshield_4,E000115,windshield,4,1
F000116_wheel_1,E000116,wheel,1,1
F000117_windshield_4,E000117,windshield,4,2
F000118_engine_4,E000118,engine,4,1
F000119_body_2,E000119,body,2,1
F000119_engine_2,E000119,engine,2,2
F000120_wheel_1,E000120,wheel,1,2
F000120_wheel_2,E000120,wheel,2,1
F000120_wheel_7,E000120,wheel,7,1
F000120_windshield_2,E000120,windshield,2,1
F000120_windshield_3,E000120,windshield,3,1
F000120_engine_2,E000120,engine,2,1
F000121_wheel_5,E000121,wheel,5,1
F000121_windshield_3,E000121,windshield,3,1
F000124_wheel_4,E000124,wheel,4,1
F000124_wheel_6,E000124,wheel,6,1
F000124_body_6,E000124,body,6,1
F000124_windshield_6,E000124,windshield,6,1
F000125_wheel_1,E000125,wheel,1,1
F000125_wheel_3,E000125,wheel,3,1
F000125_body_2,E000125,body,2,1
F000125_windshield_4,E000125,windshield,4,1
F000126_wheel_4,E000126,wheel,4,1
F000126_engine_4,E000126,engine,4,1
F000127_wheel_1,E000127,wheel,1,1
F000128_wheel_2,E000128,wheel,2,3
F000129_engine_2,E000129,engine,2,1
F000130_wheel_3,E000130,wheel,3,1
F000130_wheel_4,E000130,wheel,4,1
F000130_windshield_2,E000130,windshield,2,1
F000130_engine_2,E000130,engine,2,1
F000131_wheel_1,E000131,wheel,1,1
F000131_wheel_2,E000131,wheel,2,1
F000131_wheel_3,E000131,wheel,3,2
F000132_wheel_2,E000132,wheel,2,2
F000132_windshield_3,E000132,windshield,3,1
F000132_engine_1,E000132,engine,1,1
F000133_wheel_5,E000133,wheel,5,2
F000133_wheel_6,E000133,wheel,6,1
F000133_wheel_7,E000133,wheel,7,1
F000133_engine_7,E000133,engine,7,1
F000134_wheel_2,E000134,wheel,2,1
F000134_windshield_1,E000134,windshield,1,1
F000135_wheel_3,E000135,wheel,3,1
F000135_wheel_4,E000135,wheel,4,1
F000135_windshield_4,E000135,windshield,4,1
F000135_engine_3,E000135,engine,3,1
F000136_wheel_1,E000136,wheel,1,1
F000136_engine_3,E000136,engine,3,1
F000137_wheel_1,E000137,wheel,1,1
F000137_wheel_3,E000137,wheel,3,1
F000137_windshield_2,E000137,windshield,2,1
F000137_engine_2,E000137,engine,2,1
F000138_windshield_2,E000138,windshield,2,1
F000139_wheel_6,E000139,wheel,6,2
F000139_body_5,E000139,body,5,1
F000139_windshield_1,E000139,windshield,1,1
F000139_windshield_6,E000139,windshield,6,1
F000140_body_1,E000140,body,1,1
F000140_windshield_2,E000140,windshield,2,1
F000140_engine_3,E000140,engine,3,1
F000141_windshield_1,E000141,windshield,1,1
F000141_windshield_2,E000141,windshield,2,1
F000141_engine_1,E000141,engine,1,2
F000142_wheel_1,E000142,wheel,1,2
F000142_wheel_2,E000142,wheel,2,1
F000142_body_2,E000142,body,2,1
F000142_windshield_4,E000142,windshield,4,1
F000143_wheel_1,E000143,wheel,1,1
F000145_wheel_2,E000145,wheel,2,1
F000145_wheel_3,E000145,wheel,3,1
F000145_body_3,E000145,body,3,1
F000145_windshield_3,E000145,windshield,3,1
F000146_body_1,E000146,body,1,1
F000146_windshield_1,E000146,windshield,1,1
F000147_wheel_1,E000147,wheel,1,1
F000148_wheel_1,E000148,wheel,1,1
F000148_wheel_3,E000148,wheel,3,1
F000149_wheel_1,E000149,wheel,1,1
F000149_wheel_2,E000149,wheel,2,1
F000149_wheel_4,E000149,wheel,4,1
F000149_windshield_3,E000149,windshield,3,1
F000150_wheel_1,E000150,wheel,1,1
F000150_wheel_2,E000150,wheel,2,1
F000150_wheel_3,E000150,wheel,3,1
F000150_engine_1,E000150,engine,1,2
F000150_engine_4,E000150,engine,4,1
F000151_wheel_3,E000151,wheel,3,1
F000151_wheel_4,E000151,wheel,4,2
F000151_wheel_5,E000151,wheel,5,1
F000151_wheel_6,E000151,wheel,6,1
F000151_windshield_3,E000151,windshield,3,1
F000151_windshield_5,E000151,windshield,5,2
F000151_engine_2,E000151,engine,2,1
F000151_engine_5,E000151,engine,5,1
F000151_engine_7,E000151,engine,7,1
F000152_wheel_4,E000152,wheel,4,2
F000152_engine_2,E000152,engine,2,1
F000153_windshield_1,E000153,windshield,1,1
F000154_body_1,E000154,body,1,1
F000155_wheel_1,E000155,wheel,1,1
F000158_body_4,E000158,body,4,1
F000158_engine_1,E000158,engine,1,2
F000159_wheel_3,E000159,wheel,3,2
F000159_body_1,E000159,body,1,1
F000159_windshield_6,E000159,windshield,6,1
F000160_wheel_3,E000160,wheel,3,1
F000160_windshield_2,E000160,windshield,2,1
F000161_wheel_3,E000161,wheel,3,1
F000161_wheel_7,E000161,wheel,7,1
F000162_wheel_4,E000162,wheel,4,1
F000162_body_3,E000162,body,3,1
F000162_windshield_4,E000162,windshield,4,1
F000163_wheel_3,E000163,wheel,3,3
F000163_wheel_4,E000163,wheel,4,1
F000163_body_6,E000163,body,6,1
F000163_windshield_2,E000163,windshield,2,1
F000163_windshield_3,E000163,windshield,3,1
F000165_body_3,E000165,body,3,1
F000165_engine_4,E000165,engine,4,1
F000166_wheel_1,E000166,wheel,1,1
F000166_windshield_6,E000166,windshield,6,1
F000167_wheel_3,E000167,wheel,3,1
F000167_windshield_2,E000167,windshield,2,1
F000168_body_2,E000168,body,2,1
F000168_body_5,E000168,body,5,1
F000168_engine_5,E000168,engine,5,2
F000169_wheel_6,E000169,wheel,6,1
F000169_windshield_5,E000169,windshield,5,1
F000170_body_5,E000170,body,5,1
F000170_engine_4,E000170,engine,4,1
F000171_wheel_1,E000171,wheel,1,1
F000171_wheel_3,E000171,wheel,3,1
F000171_wheel_4,E000171,wheel,4,1
F000171_windshield_5,E000171,windshield,5,1
F000171_engine_2,E000171,engine,2,1
F000172_windshield_1,E000172,windshield,1,1
F000173_wheel_3,E000173,wheel,3,2
F000173_engine_3,E000173,engine,3,1
F000175_body_1,E000175,body,1,1
F000175_engine_1,E000175,engine,1,1
F000176_wheel_2,E000176,wheel,2,2
F000177_wheel_1,E000177,wheel,1,1
F000177_engine_1,E000177,engine,1,1
F000178_wheel_1,E000178,wheel,1,1
F000178_body_3,E000178,body,3,1
F000179_wheel_7,E000179,wheel,7,1
F000179_windshield_2,E000179,windshield,2,1
F000179_engine_1,E000179,engine,1,1
F000179_engine_2,E000179,engine,2,2
F000179_engine_3,E000179,engine,3,1
F000181_wheel_1,E000181,wheel,1,1
F000181_wheel_3,E000181,wheel,3,1
F000181_body_5,E000181,body,5,1
F000181_windshield_1,E000181,windshield,1,1
F000181_windshield_3,E000181,windshield,3,1
F000181_windshield_5,E000181,windshield,5,2
F000183_wheel_7,E000183,wheel,7,1
F000184_wheel_1,E000184,wheel,1,1
F000184_wheel_4,E000184,wheel,4,2
F000184_wheel_6,E000184,wheel,6,1
F000184_body_2,E000184,body,2,1
F000184_body_6,E000184,body,6,1
F000184_windshield_2,E000184,windshield,2,1
F000184_engine_2,E000184,engine,2,1
F000185_wheel_1,E000185,wheel,1,1
F000185_wheel_5,E000185,wheel,5,1
F000185_body_4,E000185,body,4,1
F000185_windshield_1,E000185,windshield,1,1
F000185_windshield_3,E000185,windshield,3,1
F000186_wheel_2,E000186,wheel,2,1
F000186_wheel_3,E000186,wheel,3,1
F000186_wheel_4,E000186,wheel,4,1
F000187_wheel_2,E000187,wheel,2,1
F000187_windshield_1,E000187,windshield,1,1
F000188_body_1,E000188,body,1,1
F000188_windshield_5,E000188,windshield,5,1
F000188_engine_4,E000188,engine,4,1
F000189_wheel_1,E000189,wheel,1,1
F000189_body_1,E000189,body,1,1
F000189_body_2,E000189,body,2,1
F000189_body_3,E000189,body,3,1
F000191_wheel_1,E000191,wheel,1,1
F000191_wheel_2,E000191,wheel,2,1
F000191_wheel_6,E000191,wheel,6,2
F000191_windshield_2,E000191,windshield,2,1
F000191_engine_4,E000191,engine,4,1
F000192_wheel_1,E000192,wheel,1,3
F000192_windshield_1,E000192,windshield,1,1
F000192_windshield_3,E000192,windshield,3,1
F000192_windshield_5,E000192,windshield,5,1
F000193_wheel_3,E000193,wheel,3,1
F000193_body_4,E000193,body,4,1
F000193_windshield_2,E000193,windshield,2,1
F000193_engine_3,E000193,engine,3,1
F000194_windshield_4,E000194,windshield,4,1
F000194_windshield_6,E000194,windshield,6,1
F000197_wheel_4,E000197,wheel,4,1
F000197_body_1,E000197,body,1,1
F000197_windshield_3,E000197,windshield,3,1
F000197_engine_3,E000197,engine,3,1
F000198_wheel_2,E000198,wheel,2,3
F000198_engine_6,E000198,engine,6,1
F000200_wheel_3,E000200,wheel,3,2
F000200_wheel_5,E000200,wheel,5,1
F000201_wheel_6,E000201,wheel,6,2
F000201_body_6,E000201,body,6,1
F000201_windshield_7,E000201,windshield,7,1
F000201_engine_1,E000201,engine,1,1
F000201_engine_2,E000201,engine,2,1
F000201_engine_3,E000201,engine,3,1
F000201_engine_5,E000201,engine,5,1
F000202_wheel_1,E000202,wheel,1,2
F000202_wheel_2,E000202,wheel,2,2
F000202_wheel_4,E000202,wheel,4,2
F000203_wheel_1,E000203,wheel,1,1
F000203_windshield_3,E000203,windshield,3,1
F000203_windshield_5,E000203,windshield,5,2
F000204_wheel_7,E000204,wheel,7,1
F000204_body_5,E000204,body,5,1
F000204_windshield_1,E000204,windshield,1,1
F000204_windshield_3,E000204,windshield,3,1
F000206_wheel_2,E000206,wheel,2,1
F000206_windshield_3,E000206,windshield,3,1
F000206_windshield_4,E000206,windshield,4,1
F000206_engine_1,E000206,engine,1,1
F000206_engine_4,E000206,engine,4,1
F000206_engine_5,E000206,engine,5,2
F000207_windshield_2,E000207,windshield,2,1
F000207_engine_1,E000207,engine,1,1
F000208_windshield_1,E000208,windshield,1,1
F000208_windshield_2,E000208,windshield,2,1
F000208_engine_6,E000208,engine,6,2
F000210_wheel_3,E000210,wheel,3,1
F000210_wheel_5,E000210,wheel,5,1
F000210_wheel_6,E000210,wheel,6,1
F000211_wheel_2,E000211,wheel,2,1
F000211_wheel_3,E000211,wheel,3,2
F000212_windshield_3,E000212,windshield,3,1
F000213_wheel_4,E000213,wheel,4,2
F000213_wheel_5,E000213,wheel,5,1
F000213_wheel_6,E000213,wheel,6,1
F000215_wheel_4,E000215,wheel,4,1
F000215_windshield_2,E000215,windshield,2,1
F000215_engine_6,E000215,engine,6,1
F000216_wheel_2,E000216,wheel,2,1
F000217_wheel_1,E000217,wheel,1,1
F000217_windshield_1,E000217,windshield,1,1
F000217_engine_1,E000217,engine,1,2
F000219_body_4,E000219,body,4,1
F000219_windshield_5,E000219,windshield,5,1
F000219_engine_5,E000219,engine,5,1
F000221_wheel_2,E000221,wheel,2,1
F000222_engine_1,E000222,engine,1,1
F000223_wheel_1,E000223,wheel,1,1
F000224_windshield_3,E000224,windshield,3,1
F000225_wheel_1,E000225,wheel,1,1
F000225_wheel_2,E000225,wheel,2,1
F000226_wheel_1,E000226,wheel,1,2
F000226_windshield_1,E000226,windshield,1,1
F000227_windshield_1,E000227,windshield,1,1
F000227_windshield_6,E000227,windshield,6,1
F000228_wheel_3,E000228,wheel,3,1
F000228_engine_1,E000228,engine,1,1
F000230_body_1,E000230,body,1,1
F000230_windshield_1,E000230,windshield,1,1
F000232_wheel_1,E000232,wheel,1,2
F000232_wheel_4,E000232,wheel,4,1
F000232_windshield_2,E000232,windshield,2,1
F000232_windshield_3,E000232,windshield,3,1
F000232_engine_3,E000232,engine,3,1
F000233_wheel_1,E000233,wheel,1,1
F000233_wheel_6,E000233,wheel,6,2
F000233_windshield_2,E000233,windshield,2,1
F000233_windshield_3,E000233,windshield,3,2
F000233_windshield_7,E000233,windshield,7,2
F000233_engine_5,E000233,engine,5,2
F000234_engine_1,E000234,engine,1,1
F000235_wheel_6,E000235,wheel,6,2
F000235_windshield_6,E000235,windshield,6,1
F000235_engine_4,E000235,engine,4,1
F000236_wheel_4,E000236,wheel,4,1
F000236_engine_4,E000236,engine,4,1
F000237_wheel_1,E000237,wheel,1,1
F000237_wheel_2,E000237,wheel,2,2
F000237_windshield_5,E000237,windshield,5,1
F000237_engine_1,E000237,engine,1,1
F000237_engine_4,E000237,engine,4,1
F000238_wheel_2,E000238,wheel,2,2
F000239_wheel_3,E000239,wheel,3,1
F000239_windshield_3,E000239,windshield,3,1
F000240_wheel_2,E000240,wheel,2,1
F000240_body_3,E000240,body,3,1
F000241_wheel_1,E000241,wheel,1,1
F000241_wheel_3,E000241,wheel,3,1
F000241_windshield_4,E000241,windshield,4,1
F000242_wheel_2,E000242,wheel,2,1
F000242_windshield_4,E000242,windshield,4,1
F000242_engine_2,E000242,engine,2,1
F000243_engine_2,E000243,engine,2,1
F000244_wheel_2,E000244,wheel,2,1
F000244_engine_1,E000244,engine,1,1
F000245_wheel_1,E000245,wheel,1,2
F000245_wheel_7,E000245,wheel,7,1
F000247_wheel_1,E000247,wheel,1,1
F000248_body_3,E000248,body,3,1
F000248_windshield_5,E000248,windshield,5,2
F000249_body_1,E000249,body,1,1
F000249_windshield_2,E000249,windshield,2,1
F000252_wheel_2,E000252,wheel,2,1
F000252_windshield_1,E000252,windshield,1,1
F000253_windshield_6,E000253,windshield,6,1
F000254_wheel_6,E000254,wheel,6,1
F000254_engine_3,E000254,engine,3,1
F000254_engine_4,E000254,engine,4,1
F000255_wheel_2,E000255,wheel,2,1
F000255_engine_1,E000255,engine,1,1
F000256_engine_3,E000256,engine,3,1
F000258_wheel_1,E000258,wheel,1,1
F000258_wheel_2,E000258,wheel,2,2
F000258_wheel_3,E000258,wheel,3,1
F000258_wheel_5,E000258,wheel,5,1
F000258_body_3,E000258,body,3,1
F000258_windshield_3,E000258,windshield,3,1
F000258_engine_5,E000258,engine,5,1
F000259_wheel_1,E000259,wheel,1,1
F000260_body_7,E000260,body,7,1
F000261_wheel_2,E000261,wheel,2,1
F000262_windshield_1,E000262,windshield,1,2
F000263_engine_2,E000263,engine,2,1
F000264_wheel_2,E000264,wheel,2,2
F000264_body_2,E000264,body,2,1
F000264_windshield_1,E000264,windshield,1,1
F000266_wheel_1,E000266,wheel,1,1
F000267_wheel_4,E000267,wheel,4,1
F000268_wheel_3,E000268,wheel,3,1
F000268_engine_2,E000268,engine,2,1
F000269_wheel_2,E000269,wheel,2,1
F000269_wheel_3,E000269,wheel,3,2
F000269_body_4,E000269,body,4,1
F000269_windshield_6,E000269,windshield,6,2
F000269_engine_4,E000269,engine,4,1
F000271_body_2,E000271,body,2,1
F000271_engine_1,E000271,engine,1,1
F000273_wheel_1,E000273,wheel,1,2
F000273_engine_2,E000273,engine,2,1
F000276_wheel_1,E000276,wheel,1,1
F000276_wheel_3,E000276,wheel,3,1
F000276_wheel_4,E000276,wheel,4,3
F000276_engine_1,E000276,engine,1,1
F000278_engine_1,E000278,engine,1,1
F000279_wheel_3,E000279,wheel,3,1
F000279_windshield_2,E000279,windshield,2,1
F000280_wheel_2,E000280,wheel,2,1
F000280_windshield_1,E000280,windshield,1,1
F000280_windshield_3,E000280,windshield,3,1
F000281_wheel_1,E000281,wheel,1,1
F000281_wheel_2,E000281,wheel,2,2
F000281_wheel_3,E000281,wheel,3,1
F000281_wheel_4,E000281,wheel,4,1
F000281_wheel_5,E000281,wheel,5,1
F000281_wheel_6,E000281,wheel,6,1
F000281_engine_1,E000281,engine,1,1
F000281_engine_5,E000281,engine,5,1
F000282_windshield_1,E000282,windshield,1,1
F000282_windshield_2,E000282,windshield,2,1
F000282_engine_2,E000282,engine,2,1
F000283_wheel_3,E000283,wheel,3,1
F000286_wheel_7,E000286,wheel,7,1
F000286_body_6,E000286,body,6,1
F000286_windshield_1,E000286,windshield,1,1
F000286_engine_2,E000286,engine,2,2
F000286_engine_3,E000286,engine,3,2
F000287_wheel_1,E000287,wheel,1,1
F000288_wheel_1,E000288,wheel,1,1
F000288_body_1,E000288,body,1,1
F000288_engine_1,E000288,engine,1,1
F000289_wheel_1,E000289,wheel,1,2
F000289_wheel_2,E000289,wheel,2,1
F000291_wheel_1,E000291,wheel,1,1
F000291_wheel_3,E000291,wheel,3,3
F000291_body_1,E000291,body,1,1
F000291_body_3,E000291,body,3,1
