event_id,part_id,used_qty
E000091,windshield,1
E000091,engine,1
E000092,wheel,2
E000092,windshield,1
E000092,engine,4
E000093,wheel,3
E000093,windshield,3
E000093,engine,1
E000095,wheel,3
E000095,body,1
E000096,wheel,3
E000096,windshield,1
E000096,engine,1
E000097,body,1
E000097,engine,1
E000099,wheel,3
E000099,windshield,2
E000099,engine,2
E000100,engine,1
E000101,wheel,6
E000101,body,1
E000101,windshield,3
E000102,wheel,1
E000102,windshield,3
E000102,engine,1
E000103,wheel,2
E000103,body,1
E000103,windshield,1
E000103,engine,1
E000104,body,1
E000104,engine,2
E000106,wheel,2
E000106,body,1
E000106,windshield,1
E000106,engine,1
E000108,wheel,1
E000108,windshield,2
E000109,body,1
E000109,windshield,1
E000110,engine,2
E000111,wheel,1
E000111,windshield,1
E000111,engine,2
E000112,wheel,2
E000112,body,2
E000113,windshield,1
E000113,engine,1
E000114,wheel,4
E000114,windshield,2
E000114,engine,1
E000115,wheel,1
E000115,windshield,1
E000116,wheel,1
E000117,windshield,2
E000118,windshield,1
E000118,engine,1
E000119,body,1
E000119,engine,2
E000120,wheel,4
E000120,windshield,2
E000120,engine,1
E000121,wheel,1
E000121,windshield,1
E000123,engine,1
E000124,wheel,2
E000124,body,1
E000124,windshield,1
E000125,wheel,2
E000125,body,1
E000125,windshield,1
E000126,wheel,1
E000126,engine,1
E000127,wheel,1
E000128,wheel,3
E000129,engine,1
E000130,wheel,2
E000130,windshield,1
E000130,engine,1
E000131,wheel,4
E000132,wheel,2
E000132,windshield,1
E000132,engine,1
E000133,wheel,4
E000133,engine,1
E000134,wheel,1
E000134,windshield,1
E000135,wheel,2
E000135,windshield,1
E000135,engine,1
E000136,wheel,1
E000136,engine,1
E000137,wheel,2
E000137,windshield,1
E000137,engine,1
E000138,windshield,1
E000139,wheel,2
E000139,body,1
E000139,windshield,2
E000140,body,1
E000140,windshield,1
E000140,engine,1
E000141,windshield,2
E000141,engine,2
E000142,wheel,3
E000142,body,1
E000142,windshield,1
E000143,wheel,1
E000145,wheel,2
E000145,body,1
E000145,windshield,1
E000146,wheel,1
E000146,body,1
E000146,windshield,1
E000147,wheel,1
E000147,engine,1
E000148,wheel,2
E000149,wheel,3
E000149,body,1
E000149,windshield,1
E000150,wheel,3
E000150,engine,3
E000151,wheel,5
E000151,body,1
E000151,windshield,3
E000151,engine,3
E000152,wheel,2
E000152,windshield,1
E000152,engine,1
E000153,windshield,1
E000154,body,1
E000155,wheel,1
E000158,body,1
E000158,engine,2
E000159,wheel,2
E000159,body,1
E000159,windshield,1
E000160,wheel,1
E000160,windshield,1
E000161,wheel,2
E000162,wheel,1
E000162,body,1
E000162,windshield,1
E000163,wheel,4
E000163,body,1
E000163,windshield,2
E000165,body,1
E000165,engine,1
E000166,wheel,1
E000166,windshield,1
E000167,wheel,1
E000167,windshield,1
E000168,body,2
E000168,engine,2
E000169,wheel,1
E000169,windshield,1
E000170,body,1
E000170,engine,1
E000171,wheel,3
E000171,windshield,1
E000171,engine,1
E000172,windshield,1
E000173,wheel,2
E000173,engine,1
E000175,body,1
E000175,engine,1
E000176,wheel,2
E000177,wheel,1
E000177,body,1
E000177,engine,1
E000178,wheel,1
E000178,body,1
E000179,wheel,1
E000179,windshield,1
E000179,engine,4
E000181,wheel,2
E000181,body,1
E000181,windshield,4
E000183,wheel,1
E000183,windshield,1
E000184,wheel,4
E000184,body,2
E000184,windshield,1
E000184,engine,1
E000185,wheel,2
E000185,body,1
E000185,windshield,2
E000186,wheel,3
E000187,wheel,1
E000187,windshield,1
E000188,body,1
E000188,windshield,1
E000188,engine,1
E000189,wheel,1
E000189,body,3
E000190,wheel,1
E000191,wheel,4
E000191,windshield,1
E000191,engine,1
E000192,wheel,3
E000192,windshield,3
E000192,engine,1
E000193,wheel,1
E000193,body,1
E000193,windshield,1
E000193,engine,1
E000194,windshield,2
E000197,wheel,1
E000197,body,1
E000197,windshield,1
E000197,engine,1
E000198,wheel,3
E000198,engine,1
E000199,body,1
E000200,wheel,3
E000201,wheel,2
E000201,body,1
E000201,windshield,1
E000201,engine,4
E000202,wheel,6
E000203,wheel,1
E000203,windshield,3
E000204,wheel,1
E000204,body,1
E000204,windshield,2
E000206,wheel,1
E000206,windshield,2
E000206,engine,4
E000207,windshield,1
E000207,engine,1
E000208,windshield,2
E000208,engine,2
E000209,wheel,1
E000210,wheel,3
E000211,wheel,3
E000212,windshield,1
E000213,wheel,4
E000213,engine,1
E000215,wheel,1
E000215,windshield,1
E000215,engine,1
E000216,wheel,1
E000217,wheel,1
E000217,windshield,1
E000217,engine,2
E000218,engine,1
E000219,body,1
E000219,windshield,1
E000219,engine,1
E000221,wheel,1
E000221,body,1
E000222,body,1
E000222,engine,1
E000223,wheel,1
E000224,windshield,1
E000225,wheel,2
E000226,wheel,2
E000226,windshield,1
E000227,windshield,2
E000228,wheel,1
E000228,engine,1
E000230,body,1
E000230,windshield,1
E000232,wheel,3
E000232,windshield,2
E000232,engine,1
E000233,wheel,3
E000233,windshield,5
E000233,engine,2
E000234,engine,1
E000235,wheel,2
E000235,windshield,1
E000235,engine,1
E000236,wheel,1
E000236,engine,1
E000237,wheel,3
E000237,body,1
E000237,windshield,1
E000237,engine,2
E000238,wheel,2
E000239,wheel,1
E000239,body,1
E000239,windshield,1
E000239,engine,1
E000240,wheel,1
E000240,body,1
E000241,wheel,2
E000241,windshield,1
E000242,wheel,1
E000242,windshield,1
E000242,engine,1
E000243,engine,1
E000244,wheel,1
E000244,engine,1
E000245,wheel,3
E000245,engine,1
E000247,wheel,1
E000248,wheel,1
E000248,body,1
E000248,windshield,2
E000249,body,1
E000249,windshield,1
E000252,wheel,1
E000252,windshield,1
E000252,engine,1
E000253,windshield,1
E000254,wheel,1
E000254,body,1
E000254,engine,2
E000255,wheel,1
E000255,engine,1
E000256,body,1
E000256,engine,1
E000258,wheel,5
E000258,body,1
E000258,windshield,1
E000258,engine,1
E000259,wheel,1
E000260,body,1
E000261,wheel,1
E000262,windshield,2
E000263,engine,1
E000264,wheel,2
E000264,body,1
E000264,windshield,1
E000266,wheel,1
E000266,engine,1
E000267,wheel,1
E000268,wheel,1
E000268,engine,1
E000269,wheel,3
E000269,body,1
E000269,windshield,2
E000269,engine,1
E000271,body,1
E000271,engine,1
E000272,windshield,1
E000273,wheel,2
E000273,body,1
E000273,windshield,1
E000273,engine,1
E000276,wheel,5
E000276,engine,1
E000278,engine,1
E000279,wheel,1
E000279,windshield,1
E000280,wheel,1
E000280,windshield,2
E000281,wheel,7
E000281,engine,2
E000282,windshield,2
E000282,engine,1
E000283,wheel,1
E000286,wheel,1
E000286,body,1
E000286,windshield,1
E000286,engine,4
E000287,wheel,1
E000288,wheel,1
E000288,body,1
E000288,engine,1
E000289,wheel,3
E000291,wheel,4
E000291,body,2
E000291,windshield,2
E000293,wheel,1
E000293,windshield,1
E000294,wheel,2
E000294,body,1
E000294,windshield,1
E000295,wheel,3
E000295,engine,1
E000296,engine,1
E000297,wheel,2
E000298,wheel,3
E000298,engine,2
E000299,wheel,2
E000299,body,1
E000299,windshield,1
E000299,engine,1
E000300,wheel,2
E000300,body,1
