event_id,case_id,task_type,duration_days,environment_score,avg_load_factor,is_demo
E000165,C000165,planting,4,0.903,0.647,False
E000166,C000166,clearing_land,7,0.972,1.218,False
E000167,C000167,planting,3,0.103,0.792,False
E000168,C000168,clearing_land,5,0.569,0.752,False
E000169,C000169,clearing_land,6,0.211,1.027,True
E000170,C000170,planting,5,0.155,0.457,False
E000171,C000171,clearing_land,5,0.155,0.974,False
E000172,C000172,planting,2,0.246,0.495,False
E000173,C000173,planting,3,0.915,0.518,False
E000174,C000174,planting,2,0.934,0.461,False
E000175,C000175,material_handling,1,0.352,0.926,False
E000176,C000176,planting,5,0.594,0.927,False
E000177,C000177,material_handling,3,0.956,0.899,True
E000178,C000178,planting,4,0.509,1.099,False
E000179,C000179,planting,7,0.694,0.608,False
E000180,C000180,planting,3,0.109,0.722,True
E000181,C000181,clearing_land,5,0.96,1.145,False
E000182,C000182,clearing_land,1,0.204,1.228,False
E000183,C000183,planting,7,0.896,1.014,False
E000184,C000184,planting,6,0.804,0.742,False
E000185,C000185,clearing_land,5,0.694,1.153,False
E000186,C000186,planting,5,0.618,0.841,False
E000187,C000187,planting,3,0.216,0.478,False
E000188,C000188,planting,7,0.187,0.534,False
E000189,C000189,clearing_land,3,0.449,0.867,False
E000190,C000190,material_handling,1,0.643,0.886,True
E000191,C000191,planting,6,0.452,0.486,False
E000192,C000192,clearing_land,5,0.656,0.802,False
E000193,C000193,planting,4,0.732,1.16,False
E000194,C000194,clearing_land,7,0.507,1.131,False
E000195,C000195,planting,4,0.792,0.8,False
E000196,C000196,clearing_land,1,0.557,0.816,False
E000197,C000197,clearing_land,4,0.948,0.654,True
E000198,C000198,material_handling,6,0.63,1.011,True
E000199,C000199,material_handling,4,0.813,0.607,False
E000200,C000200,clearing_land,7,0.126,0.714,False
E000201,C000201,material_handling,7,0.937,0.793,False
E000202,C000202,clearing_land,4,0.309,1.212,False
E000203,C000203,planting,5,0.608,0.705,False
E000204,C000204,clearing_land,7,0.504,1.238,False
E000205,C000205,clearing_land,1,0.842,0.657,False
E000206,C000206,material_handling,5,0.662,1.229,False
E000207,C000207,material_handling,3,0.402,0.96,False
E000208,C000208,clearing_land,6,0.153,1.216,True
E000209,C000209,clearing_land,1,0.195,0.584,False
E000210,C000210,clearing_land,6,0.723,0.984,False
E000211,C000211,planting,3,0.419,1.116,False
E000212,C000212,planting,3,0.285,0.774,True
E000213,C000213,material_handling,6,0.816,0.853,False
E000214,C000214,material_handling,2,0.819,1.2,False
E000215,C000215,planting,7,0.69,0.891,False
E000216,C000216,planting,7,0.606,1.193,False
E000217,C000217,material_handling,3,0.771,0.891,False
E000218,C000218,planting,3,0.102,1.129,False
E000219,C000219,clearing_land,5,0.3,1.046,False
E000220,C000220,planting,3,0.268,0.843,False
E000221,C000221,material_handling,2,0.799,1.005,False
E000222,C000222,planting,4,0.409,0.832,False
E000223,C000223,planting,1,0.301,0.875,False
E000224,C000224,clearing_land,3,0.846,0.56,False
E000225,C000225,planting,2,0.241,1.217,False
E000226,C000226,material_handling,1,0.919,1.154,False
E000227,C000227,planting,6,0.173,0.968,False
E000228,C000228,material_handling,3,0.684,0.89,False
E000229,C000229,planting,2,0.806,0.726,False
E000230,C000230,material_handling,1,0.496,0.826,False
E000231,C000231,material_handling,1,0.504,0.576,False
E000232,C000232,planting,6,0.879,0.762,False
E000233,C000233,clearing_land,7,0.751,0.869,True
E000234,C000234,clearing_land,3,0.3,0.628,False
E000235,C000235,planting,7,0.866,0.937,False
E000236,C000236,material_handling,4,0.19,0.771,False
E000237,C000237,material_handling,7,0.806,0.58,False
E000238,C000238,material_handling,3,0.933,1.21,True
E000239,C000239,clearing_land,4,0.408,0.964,True
E000240,C000240,material_handling,5,0.46,1.117,False
E000241,C000241,clearing_land,4,0.53,0.862,False
E000242,C000242,material_handling,4,0.612,0.613,True
E000243,C000243,planting,3,0.312,0.611,True
E000244,C000244,clearing_land,2,0.631,0.516,False
E000245,C000245,material_handling,7,0.129,0.859,False
E000246,C000246,planting,4,0.708,0.562,False
E000247,C000247,planting,2,0.302,1.11,True
E000248,C000248,clearing_land,5,0.43,1.204,True
E000249,C000249,planting,2,0.865,1.091,False
E000250,C000250,planting,3,0.125,1.216,True
E000251,C000251,planting,2,0.352,0.696,False
E000252,C000252,planting,4,0.645,1.094,False
E000253,C000253,material_handling,6,0.169,0.646,False
E000254,C000254,material_handling,7,0.209,0.478,False
E000255,C000255,clearing_land,4,0.635,0.62,False
E000256,C000256,clearing_land,5,0.282,0.736,False
E000257,C000257,clearing_land,1,0.809,0.705,False
E000258,C000258,material_handling,5,0.815,0.857,False
E000259,C000259,clearing_land,3,0.412,0.746,False
E000260,C000260,material_handling,7,0.813,0.662,True
E000261,C000261,planting,3,0.471,1.122,False
E000262,C000262,planting,5,0.564,0.63,False
E000263,C000263,material_handling,2,0.436,0.688,True
E000264,C000264,material_handling,2,0.762,0.995,False
E000265,C000265,material_handling,2,0.553,0.704,False
E000266,C000266,clearing_land,2,0.207,0.694,False
E000267,C000267,planting,4,0.1,0.498,False
E000268,C000268,planting,3,0.143,0.761,False
E000269,C000269,clearing_land,6,0.704,1.125,True
E000270,C000270,material_handling,1,0.423,1.113,False
E000271,C000271,clearing_land,4,0.989,0.638,False
E000272,C000272,material_handling,5,0.626,0.618,True
E000273,C000273,clearing_land,7,0.537,0.539,False
E000274,C000274,planting,1,0.28,0.824,False
E000275,C000275,planting,1,0.994,0.959,False
E000276,C000276,planting,4,0.594,1.076,False
E000277,C000277,clearing_land,2,0.58,1.19,False
E000278,C000278,material_handling,3,0.612,0.862,False
E000279,C000279,clearing_land,6,0.305,0.828,False
E000280,C000280,clearing_land,4,0.972,1.164,False
E000281,C000281,material_handling,6,0.781,1.209,False
E000282,C000282,material_handling,2,0.999,1.026,False
E000283,C000283,planting,4,0.856,0.838,False
E000284,C000284,planting,4,0.764,0.56,True
E000285,C000285,clearing_land,5,0.364,0.633,False
E000286,C000286,material_handling,7,0.49,1.058,False
E000287,C000287,material_handling,1,0.381,0.772,False
E000288,C000288,material_handling,3,0.602,1.185,True
E000289,C000289,clearing_land,2,0.967,1.001,False
E000290,C000290,planting,2,0.648,1.022,False
E000291,C000291,material_handling,5,0.703,0.681,False
E000292,C000292,planting,1,0.909,0.795,False
E000293,C000293,planting,2,0.631,1.144,False
E000294,C000294,planting,5,0.249,0.74,False
E000295,C000295,material_handling,7,0.63,0.457,False
E000296,C000296,planting,5,0.381,0.514,False
E000297,C000297,planting,6,0.55,0.966,False
E000298,C000298,material_handling,3,0.214,0.776,True
E000299,C000299,clearing_land,7,0.3,0.729,False
E000300,C000300,clearing_land,6,0.491,0.553,True
