event_id,had_stockout,extra_trip_required,downtime_hours,total_cost
E000061,True,True,36.5,3634.0
E000062,False,False,1.0,302.0
E000063,True,True,51.0,7322.0
E000064,False,False,12.0,5262.0
E000065,True,True,48.0,12384.0
E000066,True,False,15.5,1048.0
E000067,True,False,13.0,422.0
E000068,True,True,74.0,16410.0
E000069,False,False,2.0,564.0
E000070,True,False,13.5,628.0
E000071,True,True,14.5,802.0
E000072,True,True,14.5,912.0
E000073,True,True,21.0,3182.0
E000074,True,True,19.5,2288.0
E000075,False,False,6.5,1928.0
E000076,False,False,12.0,5284.0
E000077,True,True,52.5,6850.0
E000078,False,False,0.0,194.0
E000079,False,False,13.0,5590.0
E000080,True,False,13.5,672.0
E000081,False,False,0.0,84.0
E000082,True,True,14.5,890.0
E000083,True,True,45.0,8032.0
E000084,True,True,27.0,1088.0
E000085,True,True,84.0,23778.0
E000086,True,True,52.0,7540.0
E000087,True,True,56.5,2650.0
E000088,True,True,73.5,4840.0
E000089,True,True,39.0,6284.0
E000090,False,False,0.0,62.0
E000091,True,False,28.0,6262.0
E000092,True,False,88.0,24680.0
E000093,True,True,91.5,8804.0
E000094,False,False,0.0,84.0
E000095,True,False,23.0,3024.0
E000096,True,False,65.5,8084.0
E000097,True,True,42.5,8684.0
E000098,False,False,0.0,62.0
E000099,True,True,90.5,14354.0
E000100,True,False,24.0,6212.0
E000101,True,True,114.5,5828.0
E000102,True,True,64.5,7700.0
E000103,True,False,46.5,8352.0
E000104,False,False,30.5,12350.0
E000105,False,False,0.0,62.0
E000106,False,False,22.5,8074.0
E000107,False,False,0.0,84.0
E000108,True,True,15.5,1042.0
E000109,False,False,7.5,2212.0
E000110,True,True,36.0,11478.0
E000111,True,False,50.5,12988.0
E000112,True,True,28.0,5040.0
E000113,False,False,13.0,5568.0
E000114,True,True,56.0,7612.0
E000115,False,False,2.5,688.0
E000116,False,False,1.5,382.0
E000117,True,True,26.0,848.0
E000118,False,False,13.0,5568.0
E000119,True,True,54.5,14206.0
E000120,True,True,80.0,7934.0
E000121,True,True,14.5,830.0
E000122,False,False,0.0,128.0
E000123,True,True,24.0,6234.0
E000124,True,True,22.5,3502.0
E000125,True,True,34.5,3234.0
E000126,True,True,37.5,6778.0
E000127,False,False,1.5,426.0
E000128,True,True,28.5,1426.0
E000129,False,False,12.0,5306.0
E000130,True,False,28.0,7158.0
E000131,True,True,54.0,2106.0
E000132,True,False,28.0,6366.0
E000133,True,True,42.0,7034.0
E000134,False,False,2.5,644.0
E000135,False,False,16.0,6208.0
E000136,True,True,25.5,5806.0
E000137,True,True,28.0,6306.0
E000138,False,False,1.0,324.0
E000139,True,True,35.5,3862.0
E000140,False,False,19.5,7390.0
E000141,False,False,26.0,10986.0
E000142,True,True,60.0,4318.0
E000143,False,False,1.5,382.0
E000144,False,False,0.0,128.0
E000145,True,True,34.5,3146.0
E000146,True,True,45.0,3438.0
E000147,True,False,25.5,6554.0
E000148,True,True,27.0,1128.0
E000149,True,True,60.0,4318.0
E000150,True,True,88.5,18992.0
E000151,True,True,185.0,23724.0
E000152,True,True,64.0,7638.0
E000153,False,False,1.0,324.0
E000154,False,False,6.5,1862.0
E000155,True,True,13.5,562.0
E000156,False,False,0.0,84.0
E000157,False,False,0.0,84.0
E000158,True,False,54.5,13994.0
E000159,True,False,22.5,3032.0
E000160,False,False,2.5,666.0
E000161,False,False,3.0,834.0
E000162,False,False,9.0,2488.0
E000163,True,True,98.5,5342.0
E000164,False,False,0.0,172.0
E000165,False,False,18.5,7128.0
E000166,True,True,14.5,934.0
E000167,False,False,2.5,666.0
E000168,False,False,37.0,14150.0
E000169,True,True,14.5,852.0
E000170,False,False,18.5,7150.0
E000171,True,True,29.5,6730.0
E000172,False,False,1.0,324.0
E000173,True,True,27.0,6126.0
E000174,False,False,0.0,84.0
E000175,False,False,18.5,7062.0
E000176,False,False,3.0,790.0
E000177,True,True,32.0,8376.0
E000178,True,True,20.0,2898.0
E000179,True,True,98.5,25354.0
E000180,False,False,0.0,106.0
E000181,True,True,85.5,4920.0
E000182,False,False,0.0,62.0
E000183,True,True,14.5,874.0
E000184,True,False,80.0,12452.0
E000185,True,True,35.5,3310.0
E000186,True,True,40.5,1650.0
E000187,True,True,14.5,846.0
E000188,True,False,31.5,8084.0
E000189,True,False,33.0,6476.0
E000190,False,False,1.5,382.0
E000191,True,True,55.0,7432.0
E000192,True,False,67.5,7570.0
E000193,True,False,45.0,8818.0
E000194,False,False,2.0,674.0
E000195,False,False,0.0,128.0
E000196,False,False,0.0,62.0
E000197,False,False,21.0,7688.0
E000198,True,True,52.5,6872.0
E000199,True,False,18.5,2578.0
E000200,True,False,16.5,1334.0
E000201,True,True,118.5,26584.0
E000202,True,True,81.0,3128.0
E000203,True,False,40.5,1550.0
E000204,True,True,46.0,3744.0
E000205,False,False,0.0,62.0
E000206,True,True,99.5,23890.0
E000207,True,False,37.0,6616.0
E000208,True,True,50.0,12952.0
E000209,False,False,1.5,382.0
E000210,True,True,40.5,1672.0
E000211,True,True,28.5,1426.0
E000212,False,False,1.0,346.0
E000213,True,True,54.0,7192.0
E000214,False,False,0.0,84.0
E000215,True,True,50.5,7204.0
E000216,False,False,1.5,514.0
E000217,True,True,62.5,13146.0
E000218,True,False,24.0,6256.0
E000219,False,False,19.5,7390.0
E000220,False,False,0.0,106.0
E000221,False,False,8.0,2204.0
E000222,False,False,18.5,7128.0
E000223,False,False,1.5,382.0
E000224,True,False,13.0,466.0
E000225,True,True,15.0,904.0
E000226,True,True,40.0,1422.0
E000227,True,True,14.0,772.0
E000228,True,True,25.5,5806.0
E000229,False,False,0.0,84.0
E000230,False,False,7.5,2102.0
E000231,False,False,0.0,62.0
E000232,True,False,30.5,6992.0
E000233,True,True,129.5,14664.0
E000234,False,False,12.0,5306.0
E000235,True,True,40.0,6574.0
E000236,True,True,25.5,6598.0
E000237,True,True,84.0,15084.0
E000238,True,True,27.0,1106.0
E000239,True,True,45.0,7988.0
E000240,False,False,8.0,2270.0
E000241,True,True,16.0,1188.0
E000242,True,True,26.5,6068.0
E000243,True,False,24.0,6256.0
E000244,True,True,37.5,6734.0
E000245,True,True,28.5,6534.0
E000246,False,False,0.0,128.0
E000247,True,False,13.5,584.0
E000248,True,True,22.0,2870.0
E000249,True,True,19.5,2244.0
E000250,False,False,0.0,106.0
E000251,False,False,0.0,84.0
E000252,False,False,14.5,5888.0
E000253,False,False,1.0,412.0
E000254,True,True,68.0,14794.0
E000255,True,False,25.5,5828.0
E000256,False,False,18.5,7150.0
E000257,False,False,0.0,62.0
E000258,True,False,63.0,9530.0
E000259,False,False,1.5,426.0
E000260,True,True,18.5,2644.0
E000261,False,False,1.5,426.0
E000262,True,True,14.0,750.0
E000263,True,True,24.0,6234.0
E000264,True,False,34.5,3124.0
E000265,False,False,0.0,84.0
E000266,True,True,25.5,6554.0
E000267,False,False,1.5,448.0
E000268,True,True,37.5,6756.0
E000269,True,True,49.0,9442.0
E000270,False,False,0.0,62.0
E000271,False,False,18.5,7128.0
E000272,False,False,1.0,390.0
E000273,True,True,46.5,9144.0
E000274,False,False,0.0,62.0
E000275,False,False,0.0,62.0
E000276,True,False,67.5,8418.0
E000277,False,False,0.0,84.0
E000278,False,False,12.0,5306.0
E000279,False,False,2.5,732.0
E000280,True,True,15.5,1048.0
E000281,True,True,118.5,14842.0
E000282,False,False,14.0,5764.0
E000283,True,True,13.5,628.0
E000284,False,False,0.0,128.0
E000285,False,False,0.0,150.0
E000286,True,True,117.0,27274.0
E000287,True,True,13.5,562.0
E000288,True,False,32.0,8376.0
E000289,True,False,40.5,1584.0
E000290,False,False,0.0,84.0
E000291,True,True,93.0,7470.0
E000292,False,False,0.0,62.0
E000293,True,True,14.5,824.0
E000294,True,True,34.5,3600.0
E000295,True,True,28.5,6534.0
E000296,False,False,12.0,5350.0
E000297,True,True,27.0,1172.0
E000298,True,True,52.5,12596.0
E000299,True,True,70.5,9504.0
E000300,True,False,33.5,2972.0
