asset_id,model_family,equipment_type,age_days,usage_hours_total
A00142,L-Utility,tractor_like,1574,2461
A00143,MX-HeavyDuty,tractor_like,2952,379
A00144,L-Utility,tractor_like,390,8888
A00145,MX-HeavyDuty,tractor_like,556,5251
A00146,KX-Compact,tractor_like,2109,11136
A00147,KX-Compact,tractor_like,1505,11679
A00148,M-Series,tractor_like,560,5903
A00149,L-Utility,tractor_like,2449,3819
A00150,MX-HeavyDuty,tractor_like,1944,3494
A00151,MX-HeavyDuty,tractor_like,3382,6030
A00152,KX-Compact,tractor_like,2215,6697
A00153,KX-Compact,tractor_like,2346,10102
A00154,KX-Compact,tractor_like,2665,1752
A00155,L-Utility,tractor_like,1582,157
A00156,MX-HeavyDuty,tractor_like,680,7184
A00157,KX-Compact,tractor_like,3411,8880
A00158,MX-HeavyDuty,tractor_like,1628,5651
A00159,L-Utility,tractor_like,2883,10175
A00160,KX-Compact,tractor_like,2452,1380
A00161,M-Series,tractor_like,3042,3066
A00162,MX-HeavyDuty,tractor_like,1738,2853
A00163,M-Series,tractor_like,1979,9200
A00164,L-Utility,tractor_like,3412,10423
A00165,MX-HeavyDuty,tractor_like,2237,3535
A00166,M-Series,tractor_like,513,4540
A00167,MX-HeavyDuty,tractor_like,1606,1435
A00168,L-Utility,tractor_like,3516,10420
A00169,M-Series,tractor_like,1705,6409
A00170,KX-Compact,tractor_like,1046,2901
A00171,MX-HeavyDuty,tractor_like,2745,10103
A00172,MX-HeavyDuty,tractor_like,3504,1334
A00173,MX-HeavyDuty,tractor_like,326,5747
A00174,L-Utility,tractor_like,1363,1822
A00175,KX-Compact,tractor_like,3025,3879
A00176,M-Series,tractor_like,3377,1794
A00177,MX-HeavyDuty,tractor_like,3368,7214
A00178,KX-Compact,tractor_like,644,3473
A00179,L-Utility,tractor_like,636,5511
A00180,KX-Compact,tractor_like,2013,332
A00181,L-Utility,tractor_like,287,2402
A00182,KX-Compact,tractor_like,3048,716
A00183,M-Series,tractor_like,2194,6230
A00184,L-Utility,tractor_like,2949,4772
A00185,MX-HeavyDuty,tractor_like,1222,11814
A00186,L-Utility,tractor_like,2710,10510
A00187,MX-HeavyDuty,tractor_like,3120,6475
A00188,KX-Compact,tractor_like,1845,2243
A00189,MX-HeavyDuty,tractor_like,932,2798
A00190,KX-Compact,tractor_like,2377,6889
A00191,MX-HeavyDuty,tractor_like,1571,3444
A00192,KX-Compact,tractor_like,115,4533
A00193,MX-HeavyDuty,tractor_like,1954,10731
A00194,KX-Compact,tractor_like,422,10014
A00195,KX-Compact,tractor_like,274,4896
A00196,MX-HeavyDuty,tractor_like,2544,1261
A00197,MX-HeavyDuty,tractor_like,3093,9624
A00198,MX-HeavyDuty,tractor_like,943,11756
A00199,M-Series,tractor_like,2945,6986
A00200,MX-HeavyDuty,tractor_like,2325,7738
A00201,L-Utility,tractor_like,2863,8889
A00202,KX-Compact,tractor_like,3030,6469
A00203,M-Series,tractor_like,1920,11606
A00204,MX-HeavyDuty,tractor_like,3057,5596
A00205,MX-HeavyDuty,tractor_like,1460,8259
A00206,L-Utility,tractor_like,979,3256
A00207,KX-Compact,tractor_like,587,5248
A00208,M-Series,tractor_like,677,5049
A00209,L-Utility,tractor_like,917,4111
A00210,M-Series,tractor_like,1887,4447
A00211,L-Utility,tractor_like,1255,5252
A00212,M-Series,tractor_like,741,8254
A00213,KX-Compact,tractor_like,1146,9529
A00214,MX-HeavyDuty,tractor_like,2478,11002
A00215,MX-HeavyDuty,tractor_like,1802,9261
A00216,M-Series,tractor_like,1729,6462
A00217,MX-HeavyDuty,tractor_like,3110,5911
A00218,L-Utility,tractor_like,810,9668
A00219,L-Utility,tractor_like,1986,9214
A00220,L-Utility,tractor_like,347,3514
A00221,KX-Compact,tractor_like,2706,498
A00222,KX-Compact,tractor_like,2216,8361
A00223,L-Utility,tractor_like,3154,11033
A00224,KX-Compact,tractor_like,3480,7403
A00225,L-Utility,tractor_like,428,7492
A00226,L-Utility,tractor_like,2157,1087
A00227,L-Utility,tractor_like,3421,8703
A00228,KX-Compact,tractor_like,3507,11509
A00229,KX-Compact,tractor_like,2941,4928
A00230,L-Utility,tractor_like,1674,9408
A00231,MX-HeavyDuty,tractor_like,2920,11181
A00232,MX-HeavyDuty,tractor_like,410,3100
A00233,L-Utility,tractor_like,2190,677
A00234,KX-Compact,tractor_like,1943,7424
A00235,KX-Compact,tractor_like,699,1621
A00236,L-Utility,tractor_like,117,6903
A00237,M-Series,tractor_like,1748,8176
A00238,L-Utility,tractor_like,2680,9185
A00239,MX-HeavyDuty,tractor_like,2935,6251
A00240,M-Series,tractor_like,929,7227
A00241,KX-Compact,tractor_like,3405,10152
A00242,KX-Compact,tractor_like,2888,1475
A00243,L-Utility,tractor_like,402,5899
A00244,L-Utility,tractor_like,2684,5069
A00245,MX-HeavyDuty,tractor_like,2846,2562
A00246,L-Utility,tractor_like,2690,4056
A00247,L-Utility,tractor_like,3288,9820
A00248,MX-HeavyDuty,tractor_like,2348,3304
A00249,MX-HeavyDuty,tractor_like,1386,6423
A00250,M-Series,tractor_like,1204,1958
